Score,Time,Summary,Text,Sentiment,Cleaned_Text,Processed_Text,Detected_Emotions,Activation_Levels,Confidence_Scores,Sentiment_Score,Sub_Topic,Main_Topic,Adorescore
4,2011-01-02,ReaLemon Juice from Amazon.,"This is not as good as the Frozen Lemon juice, but it is good. It has a slightly odd flavor, perhaps from a preservative. Sure wish I could order the frozen juice!",Positive,this is not as good as the frozen lemon juice but it is good it has a slightly odd flavor perhaps from a preservative sure wish i could order the frozen juice,good frozen lemon juice good slightly odd flavor perhaps preservative sure wish could order frozen juice,"neutral, joy, surprise","Medium, Low, Low","0.729, 0.178, 0.056",0.8313,General Feedback,Product Quality,7.053333333333332
4,2011-08-26,"relaxing, almost like something you smoke","Couldn't believe it when told how relaxing this beverage was. Seriously, drink it only if you are getting ready for a nap or bedtime. If you have plans to drive or perform any other activity not recommended.<br /><br />I feel my arms and legs almost tingle with relaxation. After a short time my eyes start to get droopy and I am in another place.<br /><br />Love this stuff.",Positive,couldn t believe it when told how relaxing this beverage was seriously drink it only if you are getting ready for a nap or bedtime if you have plans to drive or perform any other activity not recommended br br i feel my arms and legs almost tingle with relaxation after a short time my eyes start to get droopy and i am in another place br br love this stuff,believe told relaxing beverage seriously drink getting ready nap bedtime plan drive perform activity recommended br br feel arm leg almost tingle relaxation short time eye start get droopy another place br br love stuff,"joy, sadness, surprise","Low, Low, Low","0.428, 0.24, 0.21",0.9066,"energy, shot, drink, caffeine, work, hour, product, steaz, taste, feel",Trust in Brand,10.466666666666669
4,2012-01-31,Never paid that much !,I bought these at Grocery Outlet here in the Seattle Tacoma are for $4.00 a case of tweleve not paying $38.00 Yes 3 for a dollar. I like the taste not great but not bad either low calorie will buy more but not at this whacked out price.,Positive,i bought these at grocery outlet here in the seattle tacoma are for 4 00 a case of tweleve not paying 38 00 yes 3 for a dollar i like the taste not great but not bad either low calorie will buy more but not at this whacked out price,bought grocery outlet seattle tacoma 4 00 case tweleve paying 38 00 yes 3 dollar like taste great bad either low calorie buy whacked price,"joy, surprise, sadness","Medium, Low, Low","0.543, 0.204, 0.136",0.5719,"candy, price, chocolate, shipping, amazon, product, gingerbread, store, fun, great",Expensive Product,17.646666666666665
5,2012-06-13,Marley's Mellow Mood Lite - Half Tea Half Lemonade,"This is an great product. The taste is great, and it works exactly as described. Superb natural sleep aid. AMAZING!",Positive,this is an great product the taste is great and it works exactly as described superb natural sleep aid amazing,great product taste great work exactly described superb natural sleep aid amazing,"joy, neutral, surprise","Medium, Low, Low","0.629, 0.193, 0.158",0.9618,"energy, shot, drink, caffeine, work, hour, product, steaz, taste, feel",Value for Money,24.126666666666665
3,2012-04-18,Great product to help you sleep,"WE have been looking for ""natural"" ways to help us sleep since we always seem to be overloaded with stress and a busy schedule. Yes, we'd probably be better served taking a yoga class, but this is a good second choice. This helps you fall asleep and stay asleep. I drank half the first night and that was plenty for me. After about 30 minutes, I was ready for bed! I woke up refreshed and with no sleepy-drug hangover, so that is a huge bonus.<br /><br />I gave the product 3 stars (instead of the 5 it deserves) as their packing job was marginal at best. The product arrived with 2 broken bottles, which at this price is a $6 loss! The bottles are glass and all they did was wrap one layer of the small-bubbled bubble wrap around the case and placed it in a larger box with extra room to move around in that box. Big packing fail, but the product is awesome.",Neutral,we have been looking for natural ways to help us sleep since we always seem to be overloaded with stress and a busy schedule yes we d probably be better served taking a yoga class but this is a good second choice this helps you fall asleep and stay asleep i drank half the first night and that was plenty for me after about 30 minutes i was ready for bed i woke up refreshed and with no sleepy drug hangover so that is a huge bonus br br i gave the product 3 stars instead of the 5 it deserves as their packing job was marginal at best the product arrived with 2 broken bottles which at this price is a 6 loss the bottles are glass and all they did was wrap one layer of the small bubbled bubble wrap around the case and placed it in a larger box with extra room to move around in that box big packing fail but the product is awesome,looking natural way help u sleep since always seem overloaded stress busy schedule yes probably better served taking yoga class good second choice help fall asleep stay asleep drank half first night plenty 30 minute ready bed woke refreshed sleepy drug hangover huge bonus br br gave product 3 star instead 5 deserves packing job marginal best product arrived 2 broken bottle price 6 loss bottle glass wrap one layer small bubbled bubble wrap around case placed larger box extra room move around box big packing fail product awesome,"sadness, fear, neutral","Low, Low, Low","0.193, 0.186, 0.185",0.9652,"energy, shot, drink, caffeine, work, hour, product, steaz, taste, feel",Damaged During Shipping,-11.393333333333333
5,2010-12-19,Perfect for gluten-free chocolate chip cookies,"We made chocolate chip cookies with BRM Garbanzo Bean Flour and the results were fantastic!  The brown sugar and chocolate mask any bean taste that other reviews have mentioned.  Our friends couldn't discern any difference from classic CCCs.  The texture, body, and elasticity (meaning reduced tendency to fall apart that occurs with most other gluten-free flours) is nice and chewy -- the same as CCCs made with regular flour.  And an added bonus -- the high protein and fiber level (I calculate 2-3 g fiber/cookie) fills you up so that you are satisfied with smaller servings and the glycemic index is significantly lower.<br /><br />I highly recommend this flour even if CCCs are the only thing you make with it.",Positive,we made chocolate chip cookies with brm garbanzo bean flour and the results were fantastic the brown sugar and chocolate mask any bean taste that other reviews have mentioned our friends couldn t discern any difference from classic cccs the texture body and elasticity meaning reduced tendency to fall apart that occurs with most other gluten free flours is nice and chewy the same as cccs made with regular flour and an added bonus the high protein and fiber level i calculate 2 3 g fiber cookie fills you up so that you are satisfied with smaller servings and the glycemic index is significantly lower br br i highly recommend this flour even if cccs are the only thing you make with it,made chocolate chip cooky brm garbanzo bean flour result fantastic brown sugar chocolate mask bean taste review mentioned friend discern difference classic cccs texture body elasticity meaning reduced tendency fall apart occurs gluten free flour nice chewy cccs made regular flour added bonus high protein fiber level calculate 2 3 g fiber cookie fill satisfied smaller serving glycemic index significantly lower br br highly recommend flour even cccs thing make,"joy, neutral, surprise","High, Low, Low","0.921, 0.048, 0.017",0.9628,General Feedback,Durability,31.040000000000003
5,2009-02-25,Garbonzo  Bean Flour,This  is great stuff.  Made some really tasty banana bread.  Good quality and lowest price in town.,Positive,this is great stuff made some really tasty banana bread good quality and lowest price in town,great stuff made really tasty banana bread good quality lowest price town,"joy, neutral, surprise","High, Low, Low","0.929, 0.051, 0.012",0.6597,General Feedback,Value for Money,31.206666666666667
5,2012-05-18,yum falafel,"We had trouble finding this locally - delivery was fast, no more hunting up and down the flour aisle at our local grocery stores.",Positive,we had trouble finding this locally delivery was fast no more hunting up and down the flour aisle at our local grocery stores,trouble finding locally delivery fast hunting flour aisle local grocery store,"sadness, fear, neutral","Low, Low, Low","0.393, 0.285, 0.221",-0.4019,"candy, price, chocolate, shipping, amazon, product, gingerbread, store, fun, great",General Feedback,-20.7
5,2012-04-08,"Make a fresh fruit tart, light and beautiful","This packet of glaze is the secret to making those European style fresh fruit tarts. I am about to make one for a pie auction at church, after a friend requested that something ""strawberry"" should be offered. You can make the most amazing and relatively ""healthy"" fruit tarts by baking a base, layering it with uncooked, fresh, sliced fruit, then pouring over the made-up contents of one of these packets. They harden up at room temperature, hold the fruit together so you can slice the tart, and they let the beauty of the arranged fruit show through. I've also seen this glaze used over cheesecakes, to hold a fruit topping in place. Personally, I do not like cheesecake (too rich for me) but a fruit glazed cheesecake is gorgeous, I will admit. To do this, slice fruit and layer it on the cheesecake while it's still in the springform pan. Pour on the glaze, let it set up and then remove the springform. You'll have a clear layer of fruit on top of the cheesecake. Cherries, strawberries or sliced mangos are nice, but the best one I ever had used thin slices of lemons, that had been gently poached in sugar syrup before they were layered on the cake.<br /><br />I use a base of sponge cake, baked in a shallow form, but other bases can be pate sucre  (a kind of French pastry that is a bit like a sugar cookie) that works well in those fluted, straight-sided forms. You can also make mini-tarts in a muffin pan, pre-baking each mold with a layer of pie crust (even commercial crust works, though again, I prefer pate sucre, it holds its shape better and is more substantial and has a better crumb.) Just blind-bake the muffin tins lined with pate, then pop them out and fill with fresh fruits (berries are great) and pour over the glaze. Some people put a layer of creme patisserie, which is a pastry cream like custard but stabilized with flour,  below the fruit and I happen to think these taste best.<br /><br />If you get into baking, this glaze is a must-have on the shelf. The ingredients are vegan: tapioca starch, carrageenan, dextrose, cream of tartar, locust bean gum, so if you are looking to make a vegan tofu cheesecake, you can use this on top, as well as use it for fruit tarts with a nut crust base.",Positive,this packet of glaze is the secret to making those european style fresh fruit tarts i am about to make one for a pie auction at church after a friend requested that something strawberry should be offered you can make the most amazing and relatively healthy fruit tarts by baking a base layering it with uncooked fresh sliced fruit then pouring over the made up contents of one of these packets they harden up at room temperature hold the fruit together so you can slice the tart and they let the beauty of the arranged fruit show through i ve also seen this glaze used over cheesecakes to hold a fruit topping in place personally i do not like cheesecake too rich for me but a fruit glazed cheesecake is gorgeous i will admit to do this slice fruit and layer it on the cheesecake while it s still in the springform pan pour on the glaze let it set up and then remove the springform you ll have a clear layer of fruit on top of the cheesecake cherries strawberries or sliced mangos are nice but the best one i ever had used thin slices of lemons that had been gently poached in sugar syrup before they were layered on the cake br br i use a base of sponge cake baked in a shallow form but other bases can be pate sucre a kind of french pastry that is a bit like a sugar cookie that works well in those fluted straight sided forms you can also make mini tarts in a muffin pan pre baking each mold with a layer of pie crust even commercial crust works though again i prefer pate sucre it holds its shape better and is more substantial and has a better crumb just blind bake the muffin tins lined with pate then pop them out and fill with fresh fruits berries are great and pour over the glaze some people put a layer of creme patisserie which is a pastry cream like custard but stabilized with flour below the fruit and i happen to think these taste best br br if you get into baking this glaze is a must have on the shelf the ingredients are vegan tapioca starch carrageenan dextrose cream of tartar locust bean gum so if you are looking to make a vegan tofu cheesecake you can use this on top as well as use it for fruit tarts with a nut crust base,packet glaze secret making european style fresh fruit tart make one pie auction church friend requested something strawberry offered make amazing relatively healthy fruit tart baking base layering uncooked fresh sliced fruit pouring made content one packet harden room temperature hold fruit together slice tart let beauty arranged fruit show also seen glaze used cheesecake hold fruit topping place personally like cheesecake rich fruit glazed cheesecake gorgeous admit slice fruit layer cheesecake still springform pan pour glaze let set remove springform clear layer fruit top cheesecake cherry strawberry sliced mango nice best one ever used thin slice lemon gently poached sugar syrup layered cake br br use base sponge cake baked shallow form base pate sucre kind french pastry bit like sugar cookie work well fluted straight sided form also make mini tart muffin pan pre baking mold layer pie crust even commercial crust work though prefer pate sucre hold shape better substantial better crumb blind bake muffin tin lined pate pop fill fresh fruit berry great pour glaze people put layer creme patisserie pastry cream like custard stabilized flour fruit happen think taste best br br get baking glaze must shelf ingredient vegan tapioca starch carrageenan dextrose cream tartar locust bean gum looking make vegan tofu cheesecake use top well use fruit tart nut crust base,"joy, neutral, surprise","High, Low, Low","0.867, 0.076, 0.039",0.9969,"sugar, use, agave, raw, nectar, fruit, mint, syrup, baking, better",Product Quality,29.68
5,2009-03-04,Miracle,"My Scotties were full of hot spots and when I used this within a week all the hot spots were gone. The smell is kinda strong, but not bad. It's tolerablel.",Positive,my scotties were full of hot spots and when i used this within a week all the hot spots were gone the smell is kinda strong but not bad it s tolerablel,scottie full hot spot used within week hot spot gone smell kinda strong bad tolerablel,"disgust, neutral, sadness","High, Low, Low","0.791, 0.098, 0.046",-0.0553,General Feedback,Defective Item,-19.99
4,2011-08-27,not bad for instant healthy coffee,"I bought this coffee because its much cheaper than the ganocafe and has the organic reishi mushroom as well as other healthy antioxidants.  I didn't expect it to taste good, but it actually does!  I've only had it for a few days and for $5 its totally worth it.  My sisters all take ganocafe but now I'm introducing them to this less expensive similar coffee.  I will follow up on this product in a few weeks.  :)",Positive,i bought this coffee because its much cheaper than the ganocafe and has the organic reishi mushroom as well as other healthy antioxidants i didn t expect it to taste good but it actually does i ve only had it for a few days and for 5 its totally worth it my sisters all take ganocafe but now i m introducing them to this less expensive similar coffee i will follow up on this product in a few weeks,bought coffee much cheaper ganocafe organic reishi mushroom well healthy antioxidant expect taste good actually day 5 totally worth sister take ganocafe introducing less expensive similar coffee follow product week,"joy, neutral, surprise","Medium, Low, Low","0.676, 0.174, 0.127",0.8357,"coffee, cup, blend, mountain, weaver, kona, bean, one, green, br",Value for Money,25.073333333333338
3,2012-06-25,It's ok,"The coffee is very finely processed and the flavor is just alright.  Nescafe and Mount Hagen are better - I bought this to try something other than these two, but I probably won't get this again.  There is just a slight ""vitaminy"" taste, but it's not overwhelming.  It's also a bit pricey for what you get.",Neutral,the coffee is very finely processed and the flavor is just alright nescafe and mount hagen are better i bought this to try something other than these two but i probably won t get this again there is just a slight vitaminy taste but it s not overwhelming it s also a bit pricey for what you get,coffee finely processed flavor alright nescafe mount hagen better bought try something two probably get slight vitaminy taste overwhelming also bit pricey get,"surprise, joy, neutral","Low, Low, Low","0.339, 0.231, 0.214",0.5994,"coffee, cup, blend, mountain, weaver, kona, bean, one, green, br",Expensive Product,14.48
5,2012-06-07,I love it!,"This coffee is great because it's all organic ingredients!  No pesticides to worry about, plus it tastes good, and you have the healing effects for ganoderma.",Positive,this coffee is great because it s all organic ingredients no pesticides to worry about plus it tastes good and you have the healing effects for ganoderma,coffee great organic ingredient pesticide worry plus taste good healing effect ganoderma,"fear, joy, sadness","High, Low, Low","0.884, 0.052, 0.022",0.6249,"coffee, cup, blend, mountain, weaver, kona, bean, one, green, br",Value for Money,-22.57333333333333
5,2012-05-29,great taste and has health benefits!,"Like the other people mentioned, this coffee has a great taste. I've tried different instant coffees before, but this one is one of the better ones. Another one of my favorites, if you want to try it out (though NOT organic), is 'Africafe pure instant coffee'",Positive,like the other people mentioned this coffee has a great taste i ve tried different instant coffees before but this one is one of the better ones another one of my favorites if you want to try it out though not organic is africafe pure instant coffee,like people mentioned coffee great taste tried different instant coffee one one better one another one favorite want try though organic africafe pure instant coffee,"neutral, joy, surprise","Medium, Low, Low","0.52, 0.335, 0.126",0.9153,"coffee, cup, blend, mountain, weaver, kona, bean, one, green, br",General Feedback,13.686666666666667
5,2012-05-04,Tastes Great. Arrived in 2 days!,"Tastes great, and gives me energy without the jitters. Love this product.<br />However, I do wish it came in some sort of resealable jar or hard plastic container instead of a zip-lock pouch because the zip-lock ripped off and quit working after awhile. But the product is fantastic, just not crazy about the packaging.",Positive,tastes great and gives me energy without the jitters love this product br however i do wish it came in some sort of resealable jar or hard plastic container instead of a zip lock pouch because the zip lock ripped off and quit working after awhile but the product is fantastic just not crazy about the packaging,taste great give energy without jitter love product br however wish came sort resealable jar hard plastic container instead zip lock pouch zip lock ripped quit working awhile product fantastic crazy packaging,"anger, sadness, joy","Low, Low, Low","0.479, 0.235, 0.209",0.7455,"energy, shot, drink, caffeine, work, hour, product, steaz, taste, feel",Damaged During Shipping,-15.236666666666665
5,2011-12-14,Great for after lunch,These little guys are tasty and refreshing.<br /><br />I usually eat salads for lunch which can do terrible things to breath.  I eat 2 of these after lunch (because they are so small) and I find this sufficiently resolves the problem.<br /><br />They're sugar free (sugar can actually help the smelly bacteria grow) which is great and they're tasty enough that I almost think of them as part of my lunch.<br /><br />This is a good bulk value buy and I'd highly recommend the mints themselves.  Cheers!,Positive,these little guys are tasty and refreshing br br i usually eat salads for lunch which can do terrible things to breath i eat 2 of these after lunch because they are so small and i find this sufficiently resolves the problem br br they re sugar free sugar can actually help the smelly bacteria grow which is great and they re tasty enough that i almost think of them as part of my lunch br br this is a good bulk value buy and i d highly recommend the mints themselves cheers,little guy tasty refreshing br br usually eat salad lunch terrible thing breath eat 2 lunch small find sufficiently resolve problem br br sugar free sugar actually help smelly bacteria grow great tasty enough almost think part lunch br br good bulk value buy highly recommend mint cheer,"joy, sadness, neutral","High, Low, Low","0.854, 0.076, 0.028",0.9556,"bar, snack, gluten, granola, husband, lunch, tasty, free, allergen, ridiculously",Value for Money,25.933333333333334
4,2010-09-12,"Nice little mints, but pricey.","I like these better than the regular Altoids, but they're even more costly, so you'd better like them.",Positive,i like these better than the regular altoids but they re even more costly so you d better like them,like better regular altoids even costly better like,"neutral, joy, surprise","Medium, Low, Low","0.546, 0.225, 0.133",0.8555,General Feedback,Expensive Product,10.16
5,2011-03-18,Altoids mini mints tins,These little tins of sugar free mine mints were a great deal.There perfict for on the go.Fifty mints per tin is just the right amount to cary along.And there safer for your teeth than the ones with sugar.The price of twelve dollars was very resonable.Also there great for shareing.If you are looking for a mint try these ones.Youll be glad you did.,Positive,these little tins of sugar free mine mints were a great deal there perfict for on the go fifty mints per tin is just the right amount to cary along and there safer for your teeth than the ones with sugar the price of twelve dollars was very resonable also there great for shareing if you are looking for a mint try these ones youll be glad you did,little tin sugar free mine mint great deal perfict go fifty mint per tin right amount cary along safer teeth one sugar price twelve dollar resonable also great shareing looking mint try one youll glad,"joy, neutral, surprise","High, Low, Low","0.985, 0.006, 0.004",0.9519,"sugar, use, agave, raw, nectar, fruit, mint, syrup, baking, better",Value for Money,32.913333333333334
5,2010-05-17,Altoids Smalls-Wintergreen,"Pros:<br />+packaging, shipping, price<br />+sold about a year before its expiration date (enough for me to eat/share 9 boxes)<br />+not too ""fresh"" like the regular wintergreen and not in a powdery form. it's a real mint!<br /><br />Cons: none!",Positive,pros br packaging shipping price br sold about a year before its expiration date enough for me to eat share 9 boxes br not too fresh like the regular wintergreen and not in a powdery form it s a real mint br br cons none,pro br packaging shipping price br sold year expiration date enough eat share 9 box br fresh like regular wintergreen powdery form real mint br br con none,"neutral, joy, surprise","Low, Low, Low","0.437, 0.294, 0.195",0.7184,"bag, br, box, size, fresh, product, dollar, expiration, hole, wrapper",Value for Money,13.699999999999998
3,2010-07-07,Sugarfree...,"Be careful not to eat too many of them in one day, as one of the chemicals in it is the same as that of a LAXATIVE!!! LOLOLOL!!!",Neutral,be careful not to eat too many of them in one day as one of the chemicals in it is the same as that of a laxative lololol,careful eat many one day one chemical laxative lololol,"neutral, fear, sadness","High, Low, Low","0.901, 0.03, 0.026",0.1531,General Feedback,General Feedback,-1.6666666666666667
5,2010-02-12,Tasty!!,These mints are really strong and have a great taste. They are also a convenient size to carry in a pocket or purse.,Positive,these mints are really strong and have a great taste they are also a convenient size to carry in a pocket or purse,mint really strong great taste also convenient size carry pocket purse,"joy, neutral, surprise","High, Low, Low","0.827, 0.127, 0.033",0.839,General Feedback,Product Quality,28.22666666666667
5,2012-08-12,These mints are awesome!,This is a huge supply of them. I'm still working on these and have plenty to spare. Much more effective than buying one from the grocery store or 7-11 every time you want a mint.,Positive,this is a huge supply of them i m still working on these and have plenty to spare much more effective than buying one from the grocery store or 7 11 every time you want a mint,huge supply still working plenty spare much effective buying one grocery store 7 11 every time want mint,"sadness, neutral, surprise","Low, Low, Low","0.349, 0.334, 0.276",0.6908,General Feedback,Value for Money,-6.113333333333332
2,2012-03-04,Altoids Smalls,"Even with small containers, they don't fill them up.  These little tins are less than half filled and at the price charged it seems a rip-off. Is there some exotic ingredient as costly as gold contained in those tiny squares?  Or how about the cereal ploy, they were filled at the factory but settled in transport.<br />Can manufacturers be honest in their dealings?",Negative,even with small containers they don t fill them up these little tins are less than half filled and at the price charged it seems a rip off is there some exotic ingredient as costly as gold contained in those tiny squares or how about the cereal ploy they were filled at the factory but settled in transport br can manufacturers be honest in their dealings,even small container fill little tin less half filled price charged seems rip exotic ingredient costly gold contained tiny square cereal ploy filled factory settled transport br manufacturer honest dealing,"surprise, neutral, joy","Low, Low, Low","0.497, 0.266, 0.184",0.2732,General Feedback,Fake or Counterfeit Product,16.073333333333334
5,2011-11-08,Love these! And reusable containers,"I love, and use the empty containers for medicine/advil in my purse, desk, suitcase. Also line with felt to keep earrings. Perfect little size to disguise small valuables when traveling and LOVE the mints. Tiny and powerful without burning my mouth.",Positive,i love and use the empty containers for medicine advil in my purse desk suitcase also line with felt to keep earrings perfect little size to disguise small valuables when traveling and love the mints tiny and powerful without burning my mouth,love use empty container medicine advil purse desk suitcase also line felt keep earring perfect little size disguise small valuable traveling love mint tiny powerful without burning mouth,"joy, anger, surprise","Low, Low, Low","0.388, 0.223, 0.148",0.9475,General Feedback,Value for Money,9.203333333333331
5,2011-11-05,Altoids,Received as shown. My mother in law likes these and Walgreens quit carrying them. It was great i could get them on Amazon.,Positive,received as shown my mother in law likes these and walgreens quit carrying them it was great i could get them on amazon,received shown mother law like walgreens quit carrying great could get amazon,"sadness, surprise, neutral","Medium, Low, Low","0.667, 0.16, 0.106",0.8074,"candy, price, chocolate, shipping, amazon, product, gingerbread, store, fun, great",Wrong Item Sent,-19.03333333333333
4,2011-09-25,A huge hit at the office!,"I keep a case of these in my office and always have at least a tin or two on my desk for visitors to help themselves to. Some folks stop by just to grab some mints and others pop them like candy while we meet. When I find someone who keeps coming back for more I just give them their own tin! One co-worker asked me to save the tins for her so she could use them as pillboxes and safety pin boxes. Like I said, theyre a real hit. Since I wouldn't be able to keep my hands off a candy dish, this is a good alternative to have around and it's nice to have them around if I have garlic for lunch! I gave the item 4 stars because they aren't as tasty as the sugar version of the mints  but what sugar free item is as good as it's full sugar counterpart?) and because of the fact that each tin is wrapped in plastic which seems like a waste and is irritating to remove (although I totally get why they wrap it - it still doesn't make it easy to deal with).",Positive,i keep a case of these in my office and always have at least a tin or two on my desk for visitors to help themselves to some folks stop by just to grab some mints and others pop them like candy while we meet when i find someone who keeps coming back for more i just give them their own tin one co worker asked me to save the tins for her so she could use them as pillboxes and safety pin boxes like i said theyre a real hit since i wouldn t be able to keep my hands off a candy dish this is a good alternative to have around and it s nice to have them around if i have garlic for lunch i gave the item 4 stars because they aren t as tasty as the sugar version of the mints but what sugar free item is as good as it s full sugar counterpart and because of the fact that each tin is wrapped in plastic which seems like a waste and is irritating to remove although i totally get why they wrap it it still doesn t make it easy to deal with,keep case office always least tin two desk visitor help folk stop grab mint others pop like candy meet find someone keep coming back give tin one co worker asked save tin could use pillbox safety pin box like said theyre real hit since able keep hand candy dish good alternative around nice around garlic lunch gave item 4 star tasty sugar version mint sugar free item good full sugar counterpart fact tin wrapped plastic seems like waste irritating remove although totally get wrap still make easy deal,"surprise, neutral, anger","Low, Low, Low","0.233, 0.233, 0.218",0.9756,General Feedback,Value for Money,-1.88
5,2011-11-28,"Love 'em, they're great!","The tiny Altoids are great for a quick breath freshening and the small box is great for portability. It's full, but compact.<br /><br />I haven't run out yet, and probably won't for a couple months, but I can't wait to buy it again.",Positive,the tiny altoids are great for a quick breath freshening and the small box is great for portability it s full but compact br br i haven t run out yet and probably won t for a couple months but i can t wait to buy it again,tiny altoids great quick breath freshening small box great portability full compact br br run yet probably couple month wait buy,"joy, neutral, surprise","Low, Low, Low","0.494, 0.442, 0.044",0.8481,General Feedback,Value for Money,17.346666666666668
5,2010-04-19,Love these!,"I loved these Wintergreen Altoid Smalls so much, I had to come write a review. The packaging is small for convenience, and the Altoids are smaller as well with a square shape, blue hue, and even more delicious taste in my opinion. I definitely prefer them over the regular-size Altoids and will continue purchasing them! Highly recommended!",Positive,i loved these wintergreen altoid smalls so much i had to come write a review the packaging is small for convenience and the altoids are smaller as well with a square shape blue hue and even more delicious taste in my opinion i definitely prefer them over the regular size altoids and will continue purchasing them highly recommended,loved wintergreen altoid small much come write review packaging small convenience altoids smaller well square shape blue hue even delicious taste opinion definitely prefer regular size altoids continue purchasing highly recommended,"joy, neutral, surprise","High, Low, Low","0.968, 0.016, 0.011",0.9259,General Feedback,Value for Money,32.48666666666667
5,2011-09-05,fresh!,Fresh scent and taste. Easy to eat one tin in few hours. I use them as favors and everyone loved them.,Positive,fresh scent and taste easy to eat one tin in few hours i use them as favors and everyone loved them,fresh scent taste easy eat one tin hour use favor everyone loved,"joy, neutral, surprise","Medium, Low, Low","0.519, 0.443, 0.016",0.8957,General Feedback,Value for Money,17.62
5,2011-08-30,Wintergreen Me,"Hard to find the wintergreen smalls [sugar free] as stores only have the red smalls [peppermint --such a common flavor]. The wintergreen is refreshing and absolutely delicious. Driving cross country, if someone cuts me off, I turn to my daughter with my hand out and say ""Wintergreen Me!"" She pulls one out, puts it in my hand, and all is right with the world.",Positive,hard to find the wintergreen smalls sugar free as stores only have the red smalls peppermint such a common flavor the wintergreen is refreshing and absolutely delicious driving cross country if someone cuts me off i turn to my daughter with my hand out and say wintergreen me she pulls one out puts it in my hand and all is right with the world,hard find wintergreen small sugar free store red small peppermint common flavor wintergreen refreshing absolutely delicious driving cross country someone cut turn daughter hand say wintergreen pull one put hand right world,"joy, neutral, surprise","High, Low, Low","0.974, 0.012, 0.009",0.9041,"candy, price, chocolate, shipping, amazon, product, gingerbread, store, fun, great",Fake or Counterfeit Product,32.64666666666667
1,2011-08-28,These just don't do it for me as breath mints,"To me, these are nothing like the regular Altoids and are not breath mints. They are pleasant-tasting little candies in a cute convenient tin, and that's as far as it goes. The mintiness is just not strong, and the wintergreens are definitely weaker than the peppermint minis. I'm not a dragon-breath person, but still, one of these mints is too small to have any effect on my breath. Four or five will freshen my breath for a short while - maybe 15 minutes. At this point, I think the Icebreakers Frost mints are the best as sugar free breath mints.",Negative,to me these are nothing like the regular altoids and are not breath mints they are pleasant tasting little candies in a cute convenient tin and that s as far as it goes the mintiness is just not strong and the wintergreens are definitely weaker than the peppermint minis i m not a dragon breath person but still one of these mints is too small to have any effect on my breath four or five will freshen my breath for a short while maybe 15 minutes at this point i think the icebreakers frost mints are the best as sugar free breath mints,nothing like regular altoids breath mint pleasant tasting little candy cute convenient tin far go mintiness strong wintergreen definitely weaker peppermint mini dragon breath person still one mint small effect breath four five freshen breath short maybe 15 minute point think icebreaker frost mint best sugar free breath mint,"joy, neutral, surprise","High, Low, Low","0.964, 0.022, 0.007",0.9383,General Feedback,Fake or Counterfeit Product,32.27333333333333
5,2011-03-05,"better than average, more expensive than average.","we have fed our cats a lot of stuff. These 2 boy cats are not picky eaters. They loved the Purina. They loved the Nutro. They loved the Iams. They love whatever we feed them.<br /><br />This review is based on what we, their affectionate owners love. After a certain age, we were instructed by the vet to consider senior foods- and lower carb foods, because the catties were fatties. We tried a few types of food. Some evinced no change. Some made the litter super-stink.  Some had too small a kibble and the cats barfed it up because they didn't have to chew it to swallow it...<br /><br />This Felidae has done the trick. No problems to speak of. It is consistent in the litter and bearable on the nose. The cats love it. The kibble is sized appropriate to chewing. And here's the kicker:<br />After feeding the cats Felidae, their demeanor improved. Their coats are super soft and lush- both are new improvements we can directly attribute to this food. We're now loyal Felidae consumers.<br /><br />Additionally, the absence of corn product in the feed seems to lessen or remove the reactions of our friends with cat-allergies.",Positive,we have fed our cats a lot of stuff these 2 boy cats are not picky eaters they loved the purina they loved the nutro they loved the iams they love whatever we feed them br br this review is based on what we their affectionate owners love after a certain age we were instructed by the vet to consider senior foods and lower carb foods because the catties were fatties we tried a few types of food some evinced no change some made the litter super stink some had too small a kibble and the cats barfed it up because they didn t have to chew it to swallow it br br this felidae has done the trick no problems to speak of it is consistent in the litter and bearable on the nose the cats love it the kibble is sized appropriate to chewing and here s the kicker br after feeding the cats felidae their demeanor improved their coats are super soft and lush both are new improvements we can directly attribute to this food we re now loyal felidae consumers br br additionally the absence of corn product in the feed seems to lessen or remove the reactions of our friends with cat allergies,fed cat lot stuff 2 boy cat picky eater loved purina loved nutro loved iams love whatever feed br br review based affectionate owner love certain age instructed vet consider senior food lower carb food catty fatty tried type food evinced change made litter super stink small kibble cat barfed chew swallow br br felidae done trick problem speak consistent litter bearable nose cat love kibble sized appropriate chewing kicker br feeding cat felidae demeanor improved coat super soft lush new improvement directly attribute food loyal felidae consumer br br additionally absence corn product feed seems lessen remove reaction friend cat allergy,"joy, neutral, anger","Low, Low, Low","0.323, 0.312, 0.226",0.9921,"cat, food, felidae, holistic, old, dry, year, much, vet, eat",Product Quality,3.986666666666667
